DATE,TRFVOLUSM227NFWA
1975-03-01,-1.6017955435870284
1975-04-01,-1.5718401122421375
1975-05-01,-1.3159457382170896
1975-06-01,-1.271749987166925
1975-07-01,-1.120701584649567
1975-08-01,-1.0821013139223215
1975-09-01,-1.454541436157394
1975-10-01,-1.352448950843733
1975-11-01,-1.5758525178237435
1975-12-01,-1.5491574427560062
1976-01-01,-1.7058148570597773
1976-02-01,-1.8233670057920077
1976-03-01,-1.3777340686319017
1976-04-01,-1.306818223631167
1976-05-01,-1.1501635612049501
1976-06-01,-1.129521978417756
1976-07-01,-0.9701538825240229
1976-08-01,-0.9467895214779928
1976-09-01,-1.2454004499650486
1976-10-01,-1.2009837051952106
1976-11-01,-1.4117820657563838
1976-12-01,-1.4108783064593744
1977-01-01,-1.7062546725941914
1977-02-01,-1.707105165259166
1977-03-01,-1.2321240284775081
1977-04-01,-1.19348365026514
1977-05-01,-1.0165724160886316
1977-06-01,-1.0064040788916773
1977-07-01,-0.8507376629739872
1977-08-01,-0.8476954601945236
1977-09-01,-1.1277074534796931
1977-10-01,-1.0516450255195438
1977-11-01,-1.2692643305095255
1977-12-01,-1.3263152791873964
1978-01-01,-1.4969334963439993
1978-02-01,-1.5750664499148397
1978-03-01,-1.107651500780724
1978-04-01,-1.1632776734282004
1978-05-01,-0.8900775669881693
1978-06-01,-0.7921147948310094
1978-07-01,-0.5968786500973893
1978-08-01,-0.5716086639279543
1978-09-01,-0.9588376542647031
1978-10-01,-0.9237184688926672
1978-11-01,-1.140140750757836
1978-12-01,-1.1182413303286969
1979-01-01,-1.3758946442367759
1979-02-01,-1.502079609325457
1979-03-01,-0.95835754332401
1979-04-01,-1.001344383243767
1979-05-01,-0.9358557572653955
1979-06-01,-0.9632536993333449
1979-07-01,-0.8805728599110411
1979-08-01,-0.7692956522394119
1979-09-01,-1.0472149435996687
1979-10-01,-0.9534921778758525
1979-11-01,-1.1476547218021358
1979-12-01,-1.1514309561054252
1980-01-01,-1.3210228567885975
1980-02-01,-1.5660973945593177
1980-03-01,-1.1041938306142118
1980-04-01,-1.0917647281790104
1980-05-01,-0.9614910791092003
1980-06-01,-0.9521230736888624
1980-07-01,-0.8496130117124921
1980-08-01,-0.7968121470487598
1980-09-01,-1.0494291679257473
1980-10-01,-0.9308454475451122
1980-11-01,-1.146705319509709
