ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1991-09-01,183820.92422486388,176579.07105442035,187547.3086336613,183820.92422486388,183820.92422486388,-1811.631741533268,-1811.631741533268,-1811.631741533268,-1811.631741533268,-1811.631741533268,-1811.631741533268,0.0,0.0,0.0,182009.29248333062
1991-10-01,184235.62998619472,184034.9227829352,194969.94114801876,184235.62998619472,184235.62998619472,5348.119675527112,5348.119675527112,5348.119675527112,5348.119675527112,5348.119675527112,5348.119675527112,0.0,0.0,0.0,189583.74966172184
1991-11-01,184664.15927290323,170477.85015807967,181731.11486708696,184664.15927290323,184664.15927290323,-8380.246145765866,-8380.246145765866,-8380.246145765866,-8380.246145765866,-8380.246145765866,-8380.246145765866,0.0,0.0,0.0,176283.91312713735
1991-12-01,185078.8650342341,172750.46350244476,183853.4477114977,185078.8650342341,185078.8650342341,-6903.120123287143,-6903.120123287143,-6903.120123287143,-6903.120123287143,-6903.120123287143,-6903.120123287143,0.0,0.0,0.0,178175.74491094696
1992-01-01,185507.39432158732,162017.87593215017,172511.33579374288,185507.39432158732,185507.39432158732,-18003.743282020063,-18003.743282020063,-18003.743282020063,-18003.743282020063,-18003.743282020063,-18003.743282020063,0.0,0.0,0.0,167503.65103956725
1992-02-01,185935.92360894056,153998.52752641877,164653.65288418916,185935.92360894056,185935.92360894056,-26624.00142265769,-26624.00142265769,-26624.00142265769,-26624.00142265769,-26624.00142265769,-26624.00142265769,0.0,0.0,0.0,159311.92218628287
1992-03-01,186336.8058454968,181593.43112505574,192626.03989374757,186336.8058454968,186336.8058454968,738.8642618328143,738.8642618328143,738.8642618328143,738.8642618328143,738.8642618328143,738.8642618328143,0.0,0.0,0.0,187075.6701073296
1992-04-01,186765.33513285007,181819.24659108874,193011.19748138153,186765.33513285007,186765.33513285007,744.1676408789785,744.1676408789785,744.1676408789785,744.1676408789785,744.1676408789785,744.1676408789785,0.0,0.0,0.0,187509.50277372904
1992-05-01,187180.04089480478,191890.67293398787,203139.8525489247,187180.04089480478,187180.04089480478,10354.066813110809,10354.066813110809,10354.066813110809,10354.066813110809,10354.066813110809,10354.066813110809,0.0,0.0,0.0,197534.1077079156
1992-06-01,187608.57018215806,191427.12461279196,202588.82679457392,187608.57018215806,187608.57018215806,9405.359490832485,9405.359490832485,9405.359490832485,9405.359490832485,9405.359490832485,9405.359490832485,0.0,0.0,0.0,197013.92967299055
1992-07-01,188023.27594411277,198125.92178859227,209579.45345110874,188023.27594411277,188023.27594411277,15827.830036962096,15827.830036962096,15827.830036962096,15827.830036962096,15827.830036962096,15827.830036962096,0.0,0.0,0.0,203851.10598107486
1992-08-01,188451.80523146602,199271.87328732942,209990.2655744643,188451.80523146602,188451.80523146602,16124.8923738509,16124.8923738509,16124.8923738509,16124.8923738509,16124.8923738509,16124.8923738509,0.0,0.0,0.0,204576.6976053169
1992-09-01,188880.33451881923,181541.36933906688,192770.03402461545,188880.33451881923,188880.33451881923,-1898.9759314334083,-1898.9759314334083,-1898.9759314334083,-1898.9759314334083,-1898.9759314334083,-1898.9759314334083,0.0,0.0,0.0,186981.35858738582
1992-10-01,189295.040280774,189868.68167054796,200622.34584147937,189295.040280774,189295.040280774,5733.595341978699,5733.595341978699,5733.595341978699,5733.595341978699,5733.595341978699,5733.595341978699,0.0,0.0,0.0,195028.6356227527
1992-11-01,189723.56956812725,176552.30379134684,187287.26260047502,189723.56956812725,189723.56956812725,-8086.389909195073,-8086.389909195073,-8086.389909195073,-8086.389909195073,-8086.389909195073,-8086.389909195073,0.0,0.0,0.0,181637.17965893217
1992-12-01,190138.275330082,177780.2430535312,189243.67935141406,190138.275330082,190138.275330082,-6585.280465097636,-6585.280465097636,-6585.280465097636,-6585.280465097636,-6585.280465097636,-6585.280465097636,0.0,0.0,0.0,183552.99486498436
