ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1972-03-01,102146.25516083487,97645.11096917992,108424.08133000201,102146.25516083487,102146.25516083487,738.8642618338381,738.8642618338381,738.8642618338381,738.8642618338381,738.8642618338381,738.8642618338381,0.0,0.0,0.0,102885.11942266871
1972-04-01,102456.05464380822,97820.06826789587,108866.27434517312,102456.05464380822,102456.05464380822,744.1676408800137,744.1676408800137,744.1676408800137,744.1676408800137,744.1676408800137,744.1676408800137,0.0,0.0,0.0,103200.22228468824
1972-05-01,102755.8605950728,107396.43288733684,118333.96152786289,102755.8605950728,102755.8605950728,10354.0668131116,10354.0668131116,10354.0668131116,10354.0668131116,10354.0668131116,10354.0668131116,0.0,0.0,0.0,113109.92740818439
1972-06-01,103065.66007804613,107332.9997492312,118351.51773600548,103065.66007804613,103065.66007804613,9405.359490832343,9405.359490832343,9405.359490832343,9405.359490832343,9405.359490832343,9405.359490832343,0.0,0.0,0.0,112471.01956887847
1972-07-01,103365.46602931069,113854.94227639765,124447.73961861055,103365.46602931069,103365.46602931069,15827.830036962176,15827.830036962176,15827.830036962176,15827.830036962176,15827.830036962176,15827.830036962176,0.0,0.0,0.0,119193.29606627286
1972-08-01,103675.26551228405,113926.45269539864,125366.9723651513,103675.26551228405,103675.26551228405,16124.892373850913,16124.892373850913,16124.892373850913,16124.892373850913,16124.892373850913,16124.892373850913,0.0,0.0,0.0,119800.15788613497
1972-09-01,103985.06499525742,96878.42569781691,107312.31368368788,103985.06499525742,103985.06499525742,-1898.975931433376,-1898.975931433376,-1898.975931433376,-1898.975931433376,-1898.975931433376,-1898.975931433376,0.0,0.0,0.0,102086.08906382404
1972-10-01,104284.87094652196,104317.18830079724,115421.86577037242,104284.87094652196,104284.87094652196,5733.5953419790185,5733.5953419790185,5733.5953419790185,5733.5953419790185,5733.5953419790185,5733.5953419790185,0.0,0.0,0.0,110018.46628850097
1972-11-01,104594.67042949532,90990.46029124236,102444.16672931124,104594.67042949532,104594.67042949532,-8086.389909195593,-8086.389909195593,-8086.389909195593,-8086.389909195593,-8086.389909195593,-8086.389909195593,0.0,0.0,0.0,96508.28052029973
1972-12-01,104894.47638075986,92532.30194781114,103578.49935035734,104894.47638075986,104894.47638075986,-6585.280465097644,-6585.280465097644,-6585.280465097644,-6585.280465097644,-6585.280465097644,-6585.280465097644,0.0,0.0,0.0,98309.19591566222
1973-01-01,105204.27586373323,80750.09537658357,91691.43977250958,105204.27586373323,105204.27586373323,-18865.28705838449,-18865.28705838449,-18865.28705838449,-18865.28705838449,-18865.28705838449,-18865.28705838449,0.0,0.0,0.0,86338.98880534874
1973-02-01,105514.07534670658,72399.64472840568,83217.00306024094,105514.07534670658,105514.07534670658,-27700.303659185174,-27700.303659185174,-27700.303659185174,-27700.303659185174,-27700.303659185174,-27700.303659185174,0.0,0.0,0.0,77813.77168752141
