ds,y,yhat
1980-03-01,125179.0,128174.45681238627
1980-04-01,125698.0,125086.84094923644
1980-05-01,131269.0,130382.69016231978
1980-06-01,131679.0,130948.26663036276
1980-07-01,136250.0,136316.27281721067
1980-08-01,138666.0,139990.1568990582
1980-09-01,127482.0,126072.52402995076
1980-10-01,132615.0,130578.6250274551
1980-11-01,123420.0,123800.68937426971
1980-12-01,124798.0,123289.12240094422
1981-01-01,116049.0,117893.99510954056
1981-02-01,109765.0,109206.84491455226
1981-03-01,127798.0,127380.80908252586
1981-04-01,128465.0,128012.576717027
1981-05-01,134305.0,134337.74186707896
1981-06-01,135545.0,134961.48726895134
1981-07-01,141253.0,140508.02288461488
1981-08-01,143464.0,143409.92197458362
1981-09-01,131185.0,131428.20492742214
1981-10-01,133216.0,135561.024083374
1981-11-01,124804.0,124955.7940547571
1981-12-01,124421.0,125747.94866595071
1982-01-01,109757.0,116886.74405941529
1982-02-01,107512.0,105714.12262822334
1982-03-01,128182.0,125117.66964351264
1982-04-01,129845.0,127840.07171641408
1982-05-01,140283.0,135296.38661302524
1982-06-01,142111.0,140059.97980560854
1982-07-01,152200.0,147146.14053143395
1982-08-01,153300.0,153061.9444392314
1982-09-01,136311.0,140604.22984943032
1982-10-01,138780.0,139913.370934115
1982-11-01,127061.0,130737.13821430938
1982-12-01,127139.0,127893.39593188553
1983-01-01,119436.0,115421.30738894005
1983-02-01,111828.0,115045.58140974448
1983-03-01,132814.0,132212.40392394888
1983-04-01,132741.0,133922.42305059952
1983-05-01,143619.0,142057.53423835593
1983-06-01,146738.0,144795.79455551849
1983-07-01,156823.0,154781.573871465
1983-08-01,157649.0,157741.8678767948
1983-09-01,139938.0,142086.78747362894
1983-10-01,144044.0,143154.33097828593
1983-11-01,133700.0,133257.49617779366
1983-12-01,129776.0,133643.2145170531
1984-01-01,122529.0,122579.98491709476
1984-02-01,117483.0,116061.97632097961
1984-03-01,137307.0,137272.05277560296
1984-04-01,141327.0,137442.3232479987
1984-05-01,151046.0,150018.19873018746
1984-06-01,153403.0,153150.94846922212
1984-07-01,161702.0,162305.2807257275
1984-08-01,164920.0,163059.92187080608
1984-09-01,146074.0,148040.84474677333
1984-10-01,147610.0,150219.63065242599
1984-11-01,137272.0,138316.20512224064
1984-12-01,136095.0,135066.32039569045
1985-01-01,124122.0,128111.8444316477
1985-02-01,119367.0,119947.23768300665
1985-03-01,144424.0,139241.7726357192
1985-04-01,147635.0,145902.59889751417
1985-05-01,156726.0,156321.13431723643
1985-06-01,158703.0,158716.7824218232
1985-07-01,166881.0,166825.3349450617
1985-08-01,169437.0,169540.1505719675
1985-09-01,150424.0,151940.50783831725
1985-10-01,154587.0,152934.1644182784
1985-11-01,140872.0,144091.39904102974
1985-12-01,141584.0,140535.52480215448
1986-01-01,132998.0,130679.26889361537
1986-02-01,123526.0,127418.751783818
1986-03-01,151183.0,147587.6135298114
1986-04-01,150277.0,152957.24818981954
1986-05-01,160459.0,159872.93511217396
1986-06-01,162370.0,162333.506489961
1986-07-01,171114.0,170453.56387552992
1986-08-01,173977.0,173332.996008593
1986-09-01,155462.0,155788.2611977613
1986-10-01,159434.0,159204.64561585296
1986-11-01,147813.0,146990.57161811416
1986-12-01,149628.0,147689.4311264433
1987-01-01,139918.0,140258.28372492766
1987-02-01,135996.0,131952.6701270148
1987-03-01,157573.0,160316.6069647085
1987-04-01,159801.0,158251.7515572351
1987-05-01,167776.0,169193.34888225
1987-06-01,167826.0,170033.071030543
1987-07-01,175783.0,176929.68427361324
1987-08-01,177378.0,178784.40842506316
1987-09-01,164184.0,159821.36873119493
1987-10-01,166836.0,166779.92727277993
1987-11-01,155676.0,155321.17213398483
1987-12-01,155580.0,156563.90875178907
1988-01-01,148879.0,146315.4963751929
1988-02-01,141748.0,143471.52880943846
1988-03-01,167836.0,164145.98030737878
1988-04-01,166804.0,168774.42567980188
1988-05-01,178042.0,175629.3586085444
1988-06-01,178690.0,178155.81622037716
1988-07-01,184779.0,186538.70839939843
1988-08-01,184503.0,187085.41896773136
1988-09-01,171072.0,170599.70804375835
1988-10-01,175478.0,173924.2437655057
1988-11-01,162957.0,163919.35249408038
1988-12-01,164798.0,163133.37822266534
1989-01-01,159750.0,156798.04486299335
1989-02-01,146732.0,152302.40899353978
1989-03-01,174990.0,172952.54079323105
1989-04-01,174320.0,174422.15825118404
1989-05-01,184823.0,184736.84160256002
1989-06-01,184094.0,185707.83071134784
1989-07-01,190985.0,191306.36017587874
1989-08-01,194172.0,191675.19464833388
1989-09-01,177326.0,179161.02533799026
1989-10-01,182583.0,181720.09119998725
1989-11-01,169735.0,170354.59640813328
1989-12-01,167530.0,171100.27542226174
1990-01-01,163600.0,162219.29823012766
1990-02-01,153559.0,152695.21937328592
1990-03-01,178771.0,179935.5168436176
1990-04-01,179033.0,178866.23240506314
1990-05-01,189247.0,189192.82603852765
1990-06-01,189529.0,189162.19266677534
1990-07-01,195470.0,196555.89697857288
1990-08-01,197057.0,198344.93098777218
1990-09-01,178415.0,181066.4897066785
1990-10-01,182634.0,183802.8779353147
1990-11-01,171565.0,170618.51404838607
1990-12-01,168621.0,170096.85615535337
1991-01-01,157889.0,163802.72819912847
1991-02-01,153351.0,150109.02928842412
1991-03-01,179076.0,177756.54083343918
1991-04-01,179538.0,178956.23042876544
1991-05-01,191929.0,189420.71012576757
1991-06-01,193467.0,191666.54499914008
1991-07-01,198387.0,199363.55066227965
1991-08-01,204063.0,200300.66816824535
1991-09-01,183594.0,185433.81850634428
1991-10-01,188445.0,188119.2534722448
1991-11-01,169693.0,177046.3457448833
1991-12-01,172782.0,169587.69603812668
1992-01-01,167652.0,162851.65003683066
1992-02-01,160204.0,160406.41731103844
1992-03-01,183778.0,185577.75392917873
1992-04-01,186069.0,184653.3300880044
1992-05-01,196725.0,197294.2995070653
1992-06-01,197232.0,198038.71600108375
1992-07-01,206616.0,203078.61834451955
1992-08-01,204753.0,210085.4212562466
1992-09-01,190908.0,186901.44610091017
1992-10-01,194836.0,194582.8207725396
1992-11-01,177380.0,178354.99612728838
1992-12-01,180999.0,179306.61429729336
1993-01-01,171680.0,174563.3154064691
1993-02-01,162844.0,164933.94650505565
1993-03-01,187869.0,187580.0653737634
1993-04-01,188737.0,189488.5890481603
1993-05-01,205981.0,199574.398265876
1993-06-01,199414.0,204952.72793005971
1993-07-01,209838.0,209042.64767768554
1993-08-01,209634.0,209543.90944581846
1993-09-01,193765.0,194438.07521735778
1993-10-01,197793.0,197987.88660917862
1993-11-01,182322.0,181709.18397236007
1993-12-01,186828.0,184600.77031730814
1994-01-01,169314.0,177710.89045460202
1994-02-01,166444.0,163071.8432840532
1994-03-01,196190.0,190707.2168397143
1994-04-01,195407.0,195577.9411515973
1994-05-01,206594.0,210271.32412670177
1994-06-01,207280.0,203476.94526777705
1994-07-01,214778.0,215720.1664179387
1994-08-01,215045.0,215339.58512376688
1994-09-01,200511.0,199013.60239510387
